premise,conclusion,weight
" Black Panther was based on a combination of real African nations, such as Nigeria, the Congo, and Kenya.", " Marvel built much of their universe based on real places and events which makes it easier to relate to.", 1.0
" Superman has been a well-known character since 1938, standing the test of time.", " DC has more legacy characters.", 1.0
" DC Comics have an inclusion commitment to the diversity of its characters.", " DC has more diversity among its characters.", 1.0
" DC has taken a cue from this and started to make more realistic movies - like Batman vs Superman and the Joker. Its Marvel thats moved away from reality into fantasy (like Thor Ragnarok from Iron Man) if anyone has.", " Marvel built much of their universe based on real places and events which makes it easier to relate to.", -1.0
" The fact that a character has been around longer does not prove that they are of a higher quality.", " DC has more legacy characters.", -1.0
" With the advent of the Marvel film franchises Marvels characters are arguably more well known.", " DC superheroes are more well-known.", -1.0
" Thor, The Avengers, Captain America, Iron Man, Dr. Strange and Black Panther have storylines that all intersect.", " Marvel stories intertwine better between different movies.", 1.0
" Batman and Superman are the two most popular superheroes.", " DC superheroes are more well-known.", 1.0
" Batman and Superman are the two most popular superheroes.", " DC has more legacy characters.", 1.0
" Everyone has their own personal preferences and morals and will only embrace the characters that align with their personal morals.", " All art is subjective;therefore, to say Marvel is better than DC doesnt mean anything since different people react differently to art, music, writing, etc., based on individual tastes and opinions.", 1.0
" Only compared to the recent Zach Snyder live action movies. DC continues to develop fantastic animated movies.", " The modern Marvel Cinematic Universe is a much higher quality compared to DCs.", -1.0
" Gotham City is based on Chicago.", " Marvel built much of their universe based on real places and events which makes it easier to relate to.", -1.0
" Marvel has spent the time and energy to write a relatively consistent cinematic universe with no compromises on character development.  DC has done the opposite and has impatiently rushed to create a cinematic universe to catch up with Marvels, but failed to meet them on any metric.", " The modern Marvel Cinematic Universe is a much higher quality compared to DCs.", 1.0
" Even if this claim is true, ubiquity does not mean quality.", " DC superheroes are more well-known.", -1.0
" Diversity doesnt necessarily make something better. Shakespeare for example has some of the most renowned works in English. But theyre not very diverse.", " DC has more diversity among its characters.", -1.0
" DC characters are either too powerful or too weak to relate to.", " Marvel stories contain better characters.", 1.0
" DC has much better villains.", " Marvel stories contain better characters.", -1.0
" Marvel has 8 characters in the top 10 of most popular superheroes.", " DC superheroes are more well-known.", -1.0
" A modern approach is not needed for quality story telling about superheroes because they are fictional archetypes.", " Marvel has a more modern approach to superhero story telling.", -1.0
" DC TV shows and movies are better at representing the comic books and pandering to its comic book readers.", " Marvel stories intertwine better between different movies.", -1.0
" DC characters are more unique. Marvel just copies from DC.", " DC has more diversity among its characters.", 1.0
" Marvel’s characters are mostly from one city, New York City, while DCs characters are more spread out.", " DC has more diversity among its characters.", 1.0
" Marvel characters contain more human flaws.", " Marvel stories contain better characters.", 1.0
" DC stories do not naturally overlap.", " Marvel stories intertwine better between different movies.", -1.0
" DC is simply interested in churning entertainment to the masses.", " Stan Lees Marvel vision contains more clarity and purpose than DC.", 1.0
