premise, conclusion, weight
" Small banks cannot spread regulatory costs over a large portfolio of loans, nor hire the legal staff required to adapt to changing requirements.", " The Dodd Frank Act introduced more regulation, which has impacted the profitability of smaller lenders. (p.2)", 1.0
" The study found that Obama’s election made most participants feel positive about their futures - believing that his election had increased their likelihood of success (p. 99).", " A qualitative study investigating the effect of Obamas election on recent male African American high school graduates in southeast Georgia revealed that his election had a positive influence on their perceptions about the world and their future (p. 99).", 1.0
" Unlike in the case of Trump, there was great personal animosity between President Obama and President Putin.", " Obama has often been criticized as the reason for the degradation of relations between the United States and Russia.", 1.0
" The Consumer Financial Protection Bureau publishes complaints against financial services firms on their database without verifying the facts alleged in the complaints.", " The Consumer Financial Protection Bureau policy of publishing complaint data has allowed public criticism of financial services firms without any recourse on the part of the company. This allows for firms to be unfairly singled out.", 1.0
" Trade with China has been linked to the creation of 2.6 million American jobs and $216 billion of GDP.", " Trade with China is integral for US economic growth.", 1.0
" Obamas endorsement of Clinton came at a time when Bernie Sanders was being pressured to step down in order to defeat Donald Trump;hence, one could ascribe a similar intention to the move.", " Obama may have felt that this progressive endorsement would be politically advantageous to the Democratic party, and so his endorsement of Hillary Clinton was a means to other ends.", 1.0
" According to many reports, Obama felt that Hillary Clintons Presidency would further his own policy agenda, and hence solidify and advance his legacy.", " Obama may have endorsed Hillary Clinton so, as the future president, she would not reverse the policies that he passed during his presidency.", 1.0
" Since the second quarter of 2010, after the Dodd-Frank Act became law, small community banks have lost double the amount of US commercial banking assets compared to what they lost between 2006 and 2010.", " The Dodd Frank Act introduced more regulation, which has impacted the profitability of smaller lenders. (p.2)", 1.0
" The Obama Administration went to great extents to not provoke Russian aggression, only taking a more assertive stance after the Russian annexation of Crimea.", " Obama has often been criticized as the reason for the degradation of relations between the United States and Russia.", -1.0
" The fact that the McCain-Feinstein amendment attracted significant opposition at the time highlights Obamas fortitude in fulfilling his campaign promises.", " The amendment attracted significant opposition even at the time of its passing. It is likely that under the current Republican administration - which has a diametrically opposed view on the issue - the amendment may be repealed.", -1.0
" Obama has consistently called for common sense gun-control legislation on public platforms in the aftermath of mass shootings, without detailing the specific legislative mechanisms required to tackle the issue.", " Obamas unrealistic promises to take on the NRA exploited the emotional vulnerability people have around the topic of guns. Americans were sold false promises of hope and change in return for political support.", 1.0
" Republican leaders of both the House and the Senate have expressly condemned the use of torture. As such, it would be politically undesirable and challenging for Trump to repeal the McCain-Feinstein amendment.", " The amendment attracted significant opposition even at the time of its passing. It is likely that under the current Republican administration - which has a diametrically opposed view on the issue - the amendment may be repealed.", -1.0
" The trends of banks consolidating, closing and merging were present before the Dodd Frank Act: it is a natural part of a changing economy. (p. 1)", " The Dodd Frank Act has forced many smaller banks to merge with larger banks or consolidate because they were unable to keep up with the demands of the legislation.", -1.0
" The Federal Reserve closely monitors and regulates the largest banks and financial services firms.", " The Financial Stability Oversight Committee hands over any firms that become too big to be monitored, to the Federal Reserve. This allows for the closer supervision of riskier, larger firms.", 1.0
" Polling has suggested that Americans support regulation of banking and financial services.", " Americans have shown an increasing preference for big government and expanding government services. Given that preference, it is unlikely that the majority of Americans are skeptical of regulatory bodies.", 1.0
" Prior to the creation of the Consumer Finance Protection Bureau, there were seven regulatory bodies responsible for consumer protection regulation. This led to weak and scattered financial policies that failed to protect consumers in the US during the global financial crisis.", " The Consumer Finance Protection Bureau (CFPB) has consolidated responsibility for consumer protection in one place. This leads to more effective regulation which is an important function of the creation of the CFPB.", 1.0
" Political slogans play an important role in helping win elections, and so endorsing Clinton by pronouncing Im with you likely served a broader PR strategy to get a Democratic candidate elected, irrespective of who the candidate was.", " Pronouncing Clintons campaign slogan, Im with her, would likely have been part and parcel of publicly endorsing her anyway. As such, this pronouncement does not significantly enhance his commitment to feminism per se.", 1.0
" For the European Deterrence Initiative - a response to Russias annexation of Crimea - Trump requested more than $17 billion, whereas Obama compared with just $5 billion.", " Trump, despite not having the same anti-Russian rhetoric as Obama, has harsh policies similar to his.", 1.0
" Loss of profit of smaller lenders can also be attributed to non-performing loans and the growth of total deposits, which are unrelated to the Dodd Frank Act.", " The Dodd Frank Act introduced more regulation, which has impacted the profitability of smaller lenders. (p.2)", -1.0
" Obamas election may have also set back the work of past advocates and movements for racial equality as well as disincentivizing new ones.", " Obamas election may have led most African Americans to incorrectly assume that the issue of racial justice has been resolved and is no longer a problem.", 1.0
" Obamas dismissal of Russia as a regional power acting out of weakness in Ukraine incurred outraged from the Russian government.", " Obama has often been criticized as the reason for the degradation of relations between the United States and Russia.", 1.0
" Obama spoke about the social and economic issues in his hometown of South Chicago, and set up initiatives to support the community.", " Obama was able to use his platform as president to speak out about racial inequality. It is unlikely that US citizens began to believe that racial inequality had ceased to exist, when their president was frequently discussing it.", 1.0
" The Dodd Frank Act mandated discounts for smaller banks which have resulted in savings and increased profitability.", " The Dodd Frank Act introduced more regulation, which has impacted the profitability of smaller lenders. (p.2)", -1.0
" A greater emphasis on funding than learning can promote a culture of cheating.", " Due to the funding benefits of obtaining high test scores, funding became a higher priority than learning.", 1.0
" This is unlikely to be the case as Clinton had different stances on policy issues from the Obama administration.", " Obama may have endorsed Hillary Clinton so, as the future president, she would not reverse the policies that he passed during his presidency.", -1.0
" The devastating impact of the recent trade war on China demonstrates that China needs the US more than the US needs China.", " Trade with China is integral for US economic growth.", -1.0
" The Obama administrations Smart on Crime Initiative instructed federal prosecutors to charge and imprison fewer low-level drug offenders.", " The number of people incarcerated in the US dropped for the first time in over three decades during Obamas term. A significant contributor to this decline was the Obama administrations instruction and encouragement for more lenient sentences to be given out for drug crimes.", 1.0
" Participants in Friedmans study were not randomly assigned to the test conditions, instead volunteering to be in the Obama test condition. This is a confounding variable because those selecting the Obama condition may have been more likely to show the Obama effect from the outset. The reliability of this study is therefore compromised.", " A quantitive study showed a reduction in the performance gap between African Americans and Whites, on 20 question test administered before Obamas nomination and after he became the president.", -1.0
" Even if the Consumer Financial Protection Bureaus complaint database allows financial institutions to be unfairly singled out, it serves a public good, and so it can be justified on public policy grounds.", " The Consumer Financial Protection Bureau policy of publishing complaint data has allowed public criticism of financial services firms without any recourse on the part of the company. This allows for firms to be unfairly singled out.", -1.0
" In the 1970s and 1980s, at least 70% of Americans thought same-sex relations were always wrong. As such, Nixons and Carters LGBTQ+ policies were truly trailblazing.", " The presidents preceding Obama were faced with a much more homophobic climate. Comparatively, therefore, it cannot be said that Obama was a trailblazer for LGBTQ+ rights.", 1.0
" The Dodd Frank Act increased compliance costs for small banks.", " The Dodd Frank Act introduced more regulation, which has impacted the profitability of smaller lenders. (p.2)", 1.0
" Text anxiety does more harm than good, as it just increases mental health issues more, like depression and anxiety while decreasing academic performance.", " The implementation of the Common Core led to an increase in test anxiety.", 1.0
" Section 1071 of the DFA instructs the Consumer Finance Protection Bureau to collect data on lending to small businesses;the intention is to use this data to improve the understanding of the business environment in which businesses that are owned and operated by women and minorities operate.", " The Dodd Frank Act has provisions intentioned specifically to aid small businesses.", 1.0
" China is not even one of the top 10 trading partners of the United States, as of 2019.", " Trade with China is integral for US economic growth.", -1.0
" One of the reasons were that they were designed to make 70% (more in minority groups) of students fail.", " The reform to the Common Core failed to address the fundamental sources for educational inequality and low achievement, but instead increased them.", 1.0
" China purchased $165 billion in goods and services from the United States in 2015;by 2030, exports to China are expected to rise up to $520 billion.", " Trade with China is integral for US economic growth.", 1.0
" While being approving of the Second Amendment during his 2008 run for the Presidency, Obama completely upended his gun-rights stance in the aftermath of the national emotional response to the Sandy Hook massacre.", " Obamas unrealistic promises to take on the NRA exploited the emotional vulnerability people have around the topic of guns. Americans were sold false promises of hope and change in return for political support.", 1.0
" Import of cheap Chinese goods has been estimated to save the average American household approximately $850 a year.", " Trade with China is integral for US economic growth.", 1.0
" Since 2010, community bank profitability has been on an upward trajectory.", " The Dodd Frank Act introduced more regulation, which has impacted the profitability of smaller lenders. (p.2)", -1.0
" Prolonged television exposure of Obama would likely have been directly or indirectly connected with his election campaign and subsequent election. As such, the two cannot be easily separated.", " According to the study, the positive change in racial attitudes had little to do with Obamas election and more to do with the prolonged television exposure that he received.", -1.0
" Given that Hillary Clinton served as the Secretary of State during Obamas presidency, it is likely that she may not have reversed most of his policies as she was a part of the same administration.", " Obama may have endorsed Hillary Clinton so, as the future president, she would not reverse the policies that he passed during his presidency.", 1.0
" Obamas election may have allowed liberals to feel that they are doing something progressive just by supporting him, instead of pushing his administration into making actual strides towards racial equality.", " Obamas election as the first black president may have given his presidency fake-progressive clothing by making it appear that the problem of racial inequality have been solved.", 1.0
" CIA Director, Mike Pompeo, has historically expressed support for interrogational torture, and it is thought that this is what motivated Trump to appoint him.", " The amendment attracted significant opposition even at the time of its passing. It is likely that under the current Republican administration - which has a diametrically opposed view on the issue - the amendment may be repealed.", 1.0
" Obama went to great lengths to push gun-rights legislation through Congress, where he faced relentless opposition on the issue. Despite this opposition, he tried to enact some change through the signing of executive orders to increase background checks. This shows that Obama was sincere in his promise to create gun control legislation for the American people.", " Obamas unrealistic promises to take on the NRA exploited the emotional vulnerability people have around the topic of guns. Americans were sold false promises of hope and change in return for political support.", -1.0
" It is Obamas predecessor, President Bush, who is primarily to blame for the harm to the US economy as a result of the great financial crisis.", " In 2007, the global financial crisis hit, and thus constitutes a considerable confounding variable when analysing the impact of Obamas policies on the middle-class during the 2007-2016 period.", 1.0
" Many people believe that big government poses more of a threat to their finances than big banks. This suggests that increased regulation is not the right answer.", " Americans have shown an increasing preference for big government and expanding government services. Given that preference, it is unlikely that the majority of Americans are skeptical of regulatory bodies.", -1.0
" The Obama administration attempted to implement a reset policy in 2009, where Obama led a series of initiatives to improve relations with Russia in the long-term.", " Obama has often been criticized as the reason for the degradation of relations between the United States and Russia.", -1.0
" Senator McCain, the co-author of the amendment, warned that if officials tried to reinstate a torture policy, then they would face legal action (Jacobson, p. 105). Therefore, fully repealing the amendment would still be cumbersome.", " The amendment attracted significant opposition even at the time of its passing. It is likely that under the current Republican administration - which has a diametrically opposed view on the issue - the amendment may be repealed.", -1.0
" Compared to other candidates, Hillary Clinton was most likely to have preserved Obamas legacy.", " Obama may have endorsed Hillary Clinton so, as the future president, she would not reverse the policies that he passed during his presidency.", 1.0
" The study found Obama’s election changed the way participants perceived themselves, as well as how they perceived the way the world sees African American males (p. 99).", " A qualitative study investigating the effect of Obamas election on recent male African American high school graduates in southeast Georgia revealed that his election had a positive influence on their perceptions about the world and their future (p. 99).", 1.0
" The Obama administrations expulsion of 35 Russian diplomats on charges of interfering with the US Presidential elections created a strain within US-Russia relations.", " Obama has often been criticized as the reason for the degradation of relations between the United States and Russia.", 1.0
" Obamas endorsement of Hillary Clinton came after she had already won four out of six of the primaries and been declared the presumptive Democratic nominee. Therefore, Obamas hands were politically tied in endorsing Hillary Clinton.", " Obama may have felt that this progressive endorsement would be politically advantageous to the Democratic party, and so his endorsement of Hillary Clinton was a means to other ends.", 1.0
" Trump granted defensive anti-tank weapons systems on Ukraines request to use against Russia, whereas Obama refused to do so.", " Trump, despite not having the same anti-Russian rhetoric as Obama, has harsh policies similar to his.", 1.0
" Many Democratic candidates who have signalled their support for the Iran Deal want to make substantive revisions to it.", " All candidates bar one in the 2020 Democratic primary said that they would rejoin the Iran deal.", -1.0
" A study found that several Americans believed that Obamas election showed that there was no need for policies that aimed to reduce racial discrimination, such as affirmative action.", " Obama’s election may have led most White Americans to incorrectly assume that racism no longer poses relevant barriers to black advancement and racial equality in the US - which is not true.", 1.0
" The Common Cores tests decreased students skills (like in reading and math).", " The reform to the Common Core failed to address the fundamental sources for educational inequality and low achievement, but instead increased them.", 1.0
" China is the USAs third largest - and most rapidly growing - export market.", " Trade with China is integral for US economic growth.", 1.0
" To the contrary, opinions on racial equality became more polarised between white and black Americans.", " Obamas election created the inaccurate idea among Americans that racial inequality had been overcome.", -1.0
" The Financial Stability Oversight Committee hands over any firms that become too big to be monitored, to the Federal Reserve. This allows for the closer supervision of riskier, larger firms.", " The Financial Stability Oversight Committee monitors risk in the financial industry by conducting research. It then makes recommendations or takes actions depending on the risks identified.", 1.0
" The Dodd Frank Act has been blamed for a slowdown in business formation. (p. 1)", " The Dodd Frank Act is bad for small businesses and entrepreneurs.", 1.0
" The Equality Act was created to provide federal anti-discrimination protections for LGBTQ+ people across employment, education, public, and housing sectors.", " Some consider the introduction of the Equality Act to be an erosion of religious liberty because it prescribed an opinion on sexuality that jarred with biblical and conservative sexual morality.", 1.0
" The influence of the NRA cannot solely be explained by its lobbying power, as other industries - which have been less successful in wielding influence - have much greater financial capital to expend towards extracting concessions.", " The NRA spends a lot of capital and resources in its lobbying efforts, which have made it one of the most powerful lobbies in the US.", -1.0
" In preparation for the introduction of the Volcker Rule, Goldman Sachs closed two of its divisions that participated in risky investment.", " Banks responded to the introduction of the Volcker Rule by reducing risk taking practices.", 1.0
" Americans have shown an increasing preference for big government and expanding government services. Given that preference, it is unlikely that the majority of Americans are skeptical of regulatory bodies.", " If consumers are skeptical of regulatory bodies they are less likely to engage with and get help from them.", -1.0
" In 2019, Trump became the first Republican president to recognise the LGBTQ+ celebration of Pride Month, signalling a break from his partys tradition and a continuity with the Obama administration.", " Obama and Trump have had different policies and views with regards to LGBTQ+ individuals.", -1.0
" The GOP attempted to obstruct almost every proposal that was part of the Obama administrations agenda for his first two years in office, with the intention to paralyse the government and increase the chances of a Republican victory in the 2010 midterm elections.", " Republicans used dirty tactics to prevent Obama achieving his goals.", 1.0
" The Consumer Financial Protection Bureau enforces financial regulations against businesses in breach of consumer protection law.", " The Consumer Financial Protection Bureau holds businesses accountable for breaches of consumer protection laws.", 1.0
" Obamas unrealistic promises to take on the NRA exploited the emotional vulnerability people have around the topic of guns. Americans were sold false promises of hope and change in return for political support.", " Obama was aware of the immense lobbying power of the NRA when he promised to introduce stricter gun laws during his election campaign. The fact that this was an unrealistic promise does not exonerate him, but is instead suggestive of manipulative and misleading campaign promises.", 1.0
" The Common Core was still successful in establishing a base, standard criteria on which student achievements from different states across the country could be compared.", " The Race to the Top paved the way for the Common Core, which was found to be terrible.", -1.0
" All candidates bar one in the 2020 Democratic primary said that they would rejoin the Iran deal.", " Much of the criticism of Obamas Iran deal was not that it was a failure, but simply that it was imperfect.", 1.0
" At the G-7 summit in 2019, Trump advocated for Putin, to soften Russias pariah status.", " Trump and Obama have differing policies with regards to Russia, with the former pushing for a softer foreign policy stance.", 1.0
" The presidents preceding Obama were faced with a much more homophobic climate. Comparatively, therefore, it cannot be said that Obama was a trailblazer for LGBTQ+ rights.", " A series of Presidents preceding Obama passed civil-rights legislation that significantly improved the lives of the LGBTQ+ community.", 1.0
" The organisation that produced this article aims to advance a moral case for free enterprise. As such, it ideologically opposes the sort of market regulation introduced by the Dodd-Frank Act. Therefore, its analysis of the impact of the Act on the economy is likely to be biased.", " The regulatory expansion introduced by the Dodd-Frank Act has disproportionately impacted smaller banks, thereby facilitating big banks to consolidate their market share.", -1.0
" The Republicans were successful in redrawing districts because they won more seats at a state level in the 2010 midterms. The fact that the Democrats were not as successful suggests they failed to appeal to voters.", " The gerrymandering done by the Republican party in 2010 has harmed the Democratic Partys chances at winning seats ever since.", -1.0
" A quantitive study showed a reduction in the performance gap between African Americans and Whites, on 20 question test administered before Obamas nomination and after he became the president.", " Studies show a positive influence on the academic performance of African Americans as a result of the Obama Effect (p. 2).", 1.0
" Due to the funding benefits of obtaining high test scores, funding became a higher priority than learning.", " The rise of standardized tests under RTTT led to a decrease in international rankings, due to dips in proficiency in different subjects, because of the decrease in learning from the testing.", 1.0
" The implementation of the Common Core led to an increase in test anxiety.", " The Race to the Top paved the way for the Common Core, which was found to be terrible.", 1.0
" Whereas Obama sought for more LGBTQ+ representation in the military by repealing the DADT Act, Trumps ban on trans individuals in the military takes away from that progress.", " Obama and Trump have had different policies and views with regards to LGBTQ+ individuals.", 1.0
" Between 1983 and 2016 the top 1% of households had added $26 million on average to their wealth, while the bottom 40% had dipped into negative wealth, meaning that the value of their debts exceeded the value of their assets.", " Between 2007 and 2016, the average wealth of the bottom 99% dropped by $4,500.", 1.0
" The CFPB has been criticized for being partisan and systematically excluding Republicans from decision-making processes. This is likely to make right-leaning voters skeptical of the Bureaus actions.", " If consumers are skeptical of regulatory bodies they are less likely to engage with and get help from them.", 1.0
" By 2015, the drop in the number of African Americans living below the poverty line represented the fastest decline since 1999.", " During his 8 years in office, Obama introduced a range of programs targeted specifically towards enfranchising the worst-off African Americans, to considerable success.", 1.0
" Big banks are able to invest in advanced technology that allows them to improve their services and take up more of the market share. It is this, and not Dodd-Frank, that is allowing big banks to dominate the market.", " The regulatory expansion introduced by the Dodd-Frank Act has disproportionately impacted smaller banks, thereby facilitating big banks to consolidate their market share.", -1.0
" Obama may have felt that this progressive endorsement would be politically advantageous to the Democratic party, and so his endorsement of Hillary Clinton was a means to other ends.", " There are other reasons that can explain Obamas endorsement of Hillary Clinton that are not motivated by a commitment to feminism.", 1.0
" The number of people incarcerated in the US dropped for the first time in over three decades during Obamas term. A significant contributor to this decline was the Obama administrations instruction and encouragement for more lenient sentences to be given out for drug crimes.", " Despite inheriting a violent legacy, Obama significantly reshaped the American war on drugs, from a punitive justice and militaristic issue, to a public health concern.", 1.0
" Carter discussed the strategies for peace in the Middle East with President Bush after his visit in 1990.", " President Carter has had immense influence on US Foreign Policy in the Middle East, after leaving office.", 1.0
" During the Obama administration, there was significant overlap in the rule making powers of the Consumer Finance Protection Bureau (CFPB) and the Federal Reserve. It is only after his departure that there has been a push by the Federal Reserve to roll back its own rulemaking powers in the areas of mortgages and consumer leasing specifically in recognition of CFPB.", " Many other regulatory bodies such as Federal Reserve, SEC and Federal Trade Commission already regulate banks. The function of the Consumer Finance Protection Bureau is therefore redundant.", 1.0
" Many ordinary people, who were greatly affected by the global financial crisis, blamed politicians and institutions for the crash. As a result, many didnt trust the actions of politicians in responding to the crisis or the institutions that came about as a result of those actions.", " If consumers are skeptical of regulatory bodies they are less likely to engage with and get help from them.", 1.0
" A review by the Offices of the Inspectors General found that there was no duplication of work performed by the Consumer Finance Protection Bureau (CFPB) and other regulatory bodies. This suggests that the CFPB performs a unique function and is not redundant. (p. 4)", " Many other regulatory bodies such as Federal Reserve, SEC and Federal Trade Commission already regulate banks. The function of the Consumer Finance Protection Bureau is therefore redundant.", -1.0
" Child labour participation has been positively correlated with the school dropout rate, meaning that those who are caught in child labour are likely to be denied the opportunity to access education.", " According to research from 2010, almost 8% of children in China aged from 10 to 15 were working 7 hours a day.", 1.0
" Obama was able to use his platform as president to speak out about racial inequality. It is unlikely that US citizens began to believe that racial inequality had ceased to exist, when their president was frequently discussing it.", " Obamas election created the inaccurate idea among Americans that racial inequality had been overcome.", -1.0
" Obamas reluctance may be due to his race, or his advisors fearing that if he does make any changes, he may end up pushing some ethnically Caucasian voters over the edge by alienating them. This would arguably make things even worse for the cause of racial justice.", " Obama has been reluctant to do anything significantly positive on behalf of African Americans and specifically racial justice.", -1.0
" Critics expressed concern that banks could just pay fines if they were caught taking risks that breached the Volcker Rule. The rule is therefore limited in how much it can reduce risk taking practices.", " Banks responded to the introduction of the Volcker Rule by reducing risk taking practices.", -1.0
" The Obama administration made up for any possible negative effects of the Dodd Frank Act on small businesses by giving tax breaks and loans to small businesses.", " The Dodd Frank Act is bad for small businesses and entrepreneurs.", -1.0
" The Dodd Frank Act has forced many smaller banks to merge with larger banks or consolidate because they were unable to keep up with the demands of the legislation.", " The regulatory expansion introduced by the Dodd-Frank Act has disproportionately impacted smaller banks, thereby facilitating big banks to consolidate their market share.", 1.0
" Obama’s election may have led most White Americans to incorrectly assume that racism no longer poses relevant barriers to black advancement and racial equality in the US - which is not true.", " Obamas election created the inaccurate idea among Americans that racial inequality had been overcome.", 1.0
" The RTTT relied on standardized testing that failed to work. Students performance decreases in 8th grade from 4th grade, while the number of tests and hours studied increases then.", " The rise of standardized tests under RTTT led to a decrease in international rankings, due to dips in proficiency in different subjects, because of the decrease in learning from the testing.", 1.0
" According to statistics, of the 12 jurisdictions that received grants from the Race to the Top initiative, 9 of them have met their benchmarks for the year, as of 2019.", " The rise of standardized tests under RTTT led to a decrease in international rankings, due to dips in proficiency in different subjects, because of the decrease in learning from the testing.", -1.0
" Some Republicans claim that the Consumer Finance Protection Bureau is a waste of public resources.", " Many other regulatory bodies such as Federal Reserve, SEC and Federal Trade Commission already regulate banks. The function of the Consumer Finance Protection Bureau is therefore redundant.", 1.0
